date,confirmed,deaths,recovered
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,1,0,0
2020-1-26,1,0,0
2020-1-27,1,0,0
2020-1-28,1,0,0
2020-1-29,1,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,1,0,0
2020-2-3,1,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,0,0
2020-2-9,1,0,0
2020-2-10,1,0,0
2020-2-11,1,0,0
2020-2-12,1,0,1
2020-2-13,1,0,1
2020-2-14,1,0,1
2020-2-15,1,0,1
2020-2-16,1,0,1
2020-2-17,1,0,1
2020-2-18,1,0,1
2020-2-19,1,0,1
2020-2-20,1,0,1
2020-2-21,1,0,1
2020-2-22,1,0,1
2020-2-23,1,0,1
2020-2-24,1,0,1
2020-2-25,1,0,1
2020-2-26,1,0,1
2020-2-27,1,0,1
2020-2-28,1,0,1
2020-2-29,1,0,1
2020-3-1,1,0,1
2020-3-2,1,0,1
2020-3-3,1,0,1
2020-3-4,1,0,1
2020-3-5,1,0,1
2020-3-6,1,0,1
2020-3-7,1,0,1
2020-3-8,1,0,1
2020-3-9,1,0,1
2020-3-10,1,0,1
2020-3-11,1,0,1
2020-3-12,1,0,1
2020-3-13,1,0,1
2020-3-14,1,0,1
2020-3-15,1,0,1
2020-3-16,1,0,1
2020-3-17,1,0,1
2020-3-18,1,0,1
2020-3-19,1,0,1
2020-3-20,1,0,1
2020-3-21,1,0,1
2020-3-22,1,0,1
2020-3-23,2,0,1
2020-3-24,2,0,1
2020-3-25,3,0,1
2020-3-26,3,0,1
2020-3-27,4,0,1
2020-3-28,5,0,1
2020-3-29,5,0,1
2020-3-30,5,0,1
2020-3-31,5,0,1
2020-4-1,5,0,1
2020-4-2,6,0,1
2020-4-3,6,0,1
2020-4-4,9,0,1
2020-4-5,9,0,1
2020-4-6,9,0,1
2020-4-7,9,0,1
2020-4-8,9,0,1
2020-4-9,9,0,1
2020-4-10,9,0,1
2020-4-11,9,0,1
2020-4-12,12,0,1
2020-4-13,14,0,1
2020-4-14,16,0,1
2020-4-15,16,0,1
2020-4-16,16,0,2
2020-4-17,30,0,2
2020-4-18,31,0,2
2020-4-19,31,0,4
2020-4-20,31,0,4
2020-4-21,43,0,4
2020-4-22,45,0,7
2020-4-23,48,0,10
2020-4-24,49,0,11
2020-4-25,49,0,12
2020-4-26,52,0,16
2020-4-27,52,0,16
2020-4-28,54,0,16
2020-4-29,57,0,16
2020-4-30,57,0,16
2020-5-1,59,0,16
2020-5-2,59,0,16
2020-5-3,75,0,16
2020-5-4,75,0,16
2020-5-5,82,0,16
2020-5-6,99,0,22
2020-5-7,101,0,22
2020-5-8,102,0,31
2020-5-9,110,0,31
2020-5-10,110,0,31
2020-5-11,134,0,33
2020-5-12,217,0,33
2020-5-13,250,0,35
2020-5-14,249,0,35
2020-5-15,267,0,36
2020-5-16,291,1,36
2020-5-17,295,2,36
2020-5-18,375,2,36
